team_id,Season,jersey_number,Player,Pos,Age,Ht,weight,shoots,years_in_nhl,DOB,Summary,date_index,height,handed,goals,assists,total_points,games_won,games_lost,games_tied,gaa
DET,2008-09,40,HENRIK ZETTERBERG,C,28,5-11,197,L/-,5,"October 9, 1980","31 G, 42 A, 73 P",01/01/2008,71,L,31,42,73,,,,
DET,2007-08,8,JUSTIN ABDELKADER,LW,20,6-1,219,L/-,0,"February 25, 1987","0 G, 0 A, 0 P",01/01/2007,73,L,0,0,0,,,,
NYI,1994-95,25,PAUL STANTON,D,27,6-1,195,R/-,4,"June 22, 1967","0 G, 4 A, 4 P",01/01/1994,73,R,0,4,4,,,,
SJS,2008-09,59,BRAD STAUBITZ,RW,24,6-1,215,R/-,0,"July 28, 1984","1 G, 2 A, 3 P",01/01/2008,73,R,1,2,3,,,,
SJS,2008-09,19,JOE THORNTON,C,29,6-4,225,L/-,10,"July 2, 1979","25 G, 61 A, 86 P",01/01/2008,76,L,25,61,86,,,,
